M-mode;HS-mode;VS-mode;VU-mode;origin;⇒;mlcrst;slcrst;vslcrst
;;;Write;VU;⇒;D (auto);D (auto);D (auto)
;Interrupts;;;;⇒;;;
;Saves CR0;;;VU;⇒;D (unchanged);D (unchanged);D (unchanged)
;Configure, use;;;HS;⇒;D (auto);D (unchanged);D (unchanged)
;unconfig;;;HS;⇒;D (auto);D (unchanged);D (unchanged)
;no restore, makes lazy;;;HS;⇒;D (unchanged); Off (set by HS);D (unchanged)
; sret;;;;⇒;;;
;;;Configure anew: something above is off: trap;HS;⇒;D (unchanged);Off (unchanged);D (unchanged)
M gets cause =croff, sees instruction. Knows does not have state, goes to HS;;;;HS;⇒;D (unchanged);Off (unchanged);D (unchanged)
;HS gets cause=croff, sees instruction, has state, sees off in slcrst. Loads SCC (or clear since instruction is config), set slcrst to clean (or older crstatus?);;;VU (old);⇒;D (auto after the import);Clean (set at end);D (unchanged)
;;;Resume and complete config;VU (new);⇒;D (auto);D (auto);D (auto)
;;Interrupts;;;⇒;;;
;;Saves CR0;;VU;⇒;D (unchanged);D (unchanged);D (unchanged)
;;Configure, use;;VS;⇒;D (auto);D (auto);D (unchanged)
;;unconfig;;VS;⇒;D (auto);D (auto);D (unchanged)
;;no restore, makes lazy;;VS;⇒;D (unchanged);D (unchanged);Off (set by VS)
;; sret;;;⇒;;;
;;;Wants to use.;;⇒;;;
;;;There is an off ⇒ trap;;;;;
M gets cause =croff, same as above;;;;VS;⇒;D (unchanged);D (unchanged);Off (unchanged)
;HS gets cause=croff, sees instruction, does not have state, does not see an off, goes to next;;;VS;⇒;D (unchanged);D (unchanged);Off (unchanged)
;;HS gets cause=croff, sees instruction, has state, sees off in slcrst. Loads SCC (or clear since instruction is config), set vslcrst to clean (or older crstatus?);;VU (old);⇒;D (auto);D (auto);Clean (set at end)
;;;Can now use because Clean ⇒ Authoritative;VU (new=old);⇒;;;
